company,job_title,location,work_mode,employment_type,date_posted,status,source,application_url,is_new,first_seen,last_seen,job_id,description
Actalent,Data Integration Analyst,"Alpharetta, Georgia, 30004, USA",See posting,"[""CONTRACTOR""]",2026-08-18,Active,HTTP+Playwright,https://careers.actalentservices.com/us/en/job/JP-006229008/Data-Integration-Analyst,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,2ac0cb35c592d1bcea13,"Job Title: Data Integration Analyst Job Description The Data Integration Analyst will be responsible for running data extracts, writing moderate SQL queries, mapping fields between legacy and target systems, performing migration reconciliation, investigating rejected or missing records, building basic Power BI or Tableau outputs, maintaining issue logs and conversion files, supporting testing before and after migrations, and escalating complex problems to the manager. Responsibilities Run data extracts efficiently and accurately. Write moderate SQL queries for data analysis and integration. Map fields between legacy and target systems to ensure data integrity. Perform migration reconciliation to verify data accuracy. Investigate and resolve issues related to rejected or missing records. Build and present basic Power BI or Tableau outputs. Maintain detailed issue logs and conversion files for future reference. Support testing processes before and after data migrations. Escalate complex problems to the manager for resolution. Essential Skills Strong skills in Microsoft Excel for data manipulation and analysis. Proficiency in SQL with familiarity in writing database queries. Experience with Power BI and/or Tableau for data visualization. Knowledge of Power Query for data transformation. Competence in data extraction and analysis. Additional Skills & Qualifications Experience in working within a small team environment. Ability to work directly with an experienced Data Analyst. Exposure to different analysis tools and techniques. Work Environment Data Analyst and another lead. The role promises stability and the opportunity to gain expertise in the field of data analysis. Job Type & Location This is a Contract position based out of Alpharetta, GA. Pay and Benefits The pay range for this position is $22.00 - $30.00/hr. Individual compensation offered for this position within this range will depend on many factors, including qualifications, skills, relevant experience, job knowledge, geographic location, internal equity, and other pertinent job-related factors. Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. If eligible, the benefits available for this temporary role may include the following: • Medical, dental & vision • Critical Illness, Accident, and Hospital • 401(k) Retirement Plan – Pre-tax and Roth post-tax contributions available • Life Insurance (Voluntary Life & AD&D for the employee and dependents) • Short and long-term disability • Health Spending Account (HSA) • Transportation benefits • Employee Assistance Program • Time Off/Leave (PTO, Vacation or Sick Leave) Workplace Type This is a fully onsite position in Alpharetta,GA. Application Deadline This position is anticipated to close on Aug 31, 2026. About Actalent Actalent is a global leader in engineering and sciences services"
Actalent,Environmental Monitoring Analyst,"Sanford, North Carolina, 27237, USA",See posting,"[""CONTRACTOR""]",2026-08-21,Active,HTTP+Playwright,https://careers.actalentservices.com/us/en/job/JP-006236655/Environmental-Monitoring-Analyst,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,055c44f871c8fc16be5c,"Job Title: Environmental Monitoring Analyst Job Description The Environmental Monitoring Analyst performs routine environmental monitoring across manufacturing and laboratory areas to support contamination control and product quality. This role focuses on collecting and processing viable and non-viable samples from manufacturing and utility systems, documenting results in electronic systems, and following Good Manufacturing Practices (GMP) and standard operating procedures. It offers an excellent entry point into the pharmaceutical and life sciences industry, with strong training, mentorship, and opportunities for long-term growth into microbiology, quality, and laboratory-focused roles. Responsibilities Perform routine environmental monitoring sampling throughout the manufacturing facility, including controlled manufacturing spaces and laboratory areas. Collect viable and non-viable samples from manufacturing and utility systems, including compressed gas systems and water systems such as WFI. Incubate environmental monitoring plates, read and interpret results, and document findings accurately within electronic documentation systems. Follow GMP procedures and site standard operating procedures to ensure compliance with contamination control and qualification activities. Support monitoring activities for facility environments, compressed gas systems, water systems, and controlled manufacturing spaces to maintain a state of control. Maintain accurate, timely, and complete documentation and records in a paperless environment, adhering to data integrity standards. Participate in routine operational and compliance activities related to environmental monitoring and quality systems. Apply aseptic techniques during sampling and handling of materials to minimize contamination risks. Collaborate with cross-functional teams in manufacturing, quality, and laboratory operations while also working independently when required. Communicate clearly and professionally about monitoring results, deviations, and observations to relevant stakeholders. Demonstrate strong attention to detail in sample collection, plate reading, data entry, and documentation review. Adapt to changing schedules, priorities, and environments while maintaining high standards of quality and compliance. Engage in ongoing training and mentorship activities to build expertise in environmental monitoring, microbiology, GMP operations, and quality systems. Essential Skills Bachelor's degree in Biology, Microbiology, Pharmaceutical Sciences, Environmental Science, Chemistry, or a related scientific field. Foundational knowledge of microbiology and laboratory practices. Understanding of aseptic technique and contamination control principles. Strong communication skills, both written and verbal, for documenting results and collaborating with team members. Strong organizational skills with the ability to manage multiple monitoring activities and documentation requirements. Ability to work independen"
Actalent,Senior Business Analyst,"Atlanta, Georgia, 30301, USA",See posting,"[""FULL_TIME""]",2025-05-03,Active,HTTP+Playwright,https://careers.actalentservices.com/us/en/job/JP-005242987/Senior-Business-Analyst,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,df450f11b5c2fe91c21d,"Job Title: Senior Business Analyst Job Description Support construction operations staffing initiatives with modeling, analysis, and presentations. Monitor cost drivers and identify areas of greatest impact. Support capital budget development for projects with detailed variance analysis of financial results. Research and summarize financial transactions and events for periodic reporting, and prepare written and verbal explanations. Additionally, support the development of capital budgets and financial projections. Responsibilities Support construction operations staffing initiatives with modeling, analysis, and presentations. Monitor cost drivers and identify areas of greatest impact. Support capital budget development with detailed variance analysis of financial results. Research and summarize financial transactions and events for periodic reporting. Prepare written and verbal explanations. Support the development of capital budgets and financial projections. Additional Skills & Qualifications Bachelor's Degree in a related field Experience working on projects with budgets ranging from $200,000 to $1 million Excel functions such as VLOOKUP and INDEX MATCH Experience with Bluebeam and Procore Work Environment The role requires working out of the client office in mid-town Atlanta from Monday to Thursday, with the option to work from home on Fridays. This opportunity will involve supporting projects in Atlanta. The work environment includes opportunities to work on diverse projects of various sizes and complexities for globally renowned clients, with multiple divisions and teams within the construction industry. A strong team of expert, professional peers will be available for mentorship and growth. Pay and Benefits The pay range for this position is $48.08 - $72.16/hr. Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. If eligible, the benefits available for this temporary role may include the following: • Medical, dental & vision • Critical Illness, Accident, and Hospital • 401(k) Retirement Plan – Pre-tax and Roth post-tax contributions available • Life Insurance (Voluntary Life & AD&D for the employee and dependents) • Short and long-term disability • Health Spending Account (HSA) • Transportation benefits • Employee Assistance Program • Time Off/Leave (PTO, Vacation or Sick Leave) Workplace Type This is a hybrid position in Atlanta,GA. Application Deadline This position is anticipated to close on May 10, 2025. About Actalent Actalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe,"
Apex Systems,AI Business Analyst,"Austin, TX, 78723, US",Hybrid,Contract,2026-07-02,Active,HTTP+Playwright,https://www.apexsystems.com/job/3040922_usa/ai-business-analyst,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,e5deac8af2d4ee51923f,"AI Business AnalystLocation: Austin, TX Schedule: Hybrid. 3 days in office, 2 days remote. M-F 8-5Length: 12+ Month W2 Contract. Chance of extension. Role OverviewAn experienced Business Analyst is sought to support enterprise-wide Artificial Intelligence (AI), Data, and Technology Modernization initiatives. This role involves partnering with business stakeholders, product owners, project managers, architects, and technical teams to identify opportunities, define requirements, and help deliver solutions across the organization. Key ResponsibilitiesGather, analyze, document, and validate business and functional requirements.Facilitate stakeholder workshops, interviews, and discovery sessions.Document current and future-state business processes.Translate business objectives into actionable requirements and user stories.Partner with business leaders, product owners, developers, architects, and project teams.Support AI, data, analytics, and enterprise technology initiatives.Assist with process improvement and operational optimization efforts.Develop business cases, gap analyses, and process flows.Support Agile delivery teams through backlog refinement and requirements clarification.Communicate with both technical and non-technical audiences.Required Qualifications5+ years of Business Analyst experience supporting technology-focused initiatives.Experience gathering, analyzing, and documenting business and functional requirements.Facilitation, communication, and stakeholder management skills.Experience working with cross-functional teams in complex enterprise environments.Ability to bridge communication between business and technical stakeholders.Experience supporting Agile and/or Scrum delivery methodologies.Analytical, problem-solving, and critical-thinking abilities.Written and verbal communication skills.Preferred QualificationsExperience with Artificial Intelligence (AI) or Generative AI initiatives.Experience with digital transformation, automation, or enterprise modernization programs.Familiarity with data management, analytics, reporting, or data governance initiatives.Knowledge of Microsoft ecosystem technologies, including Microsoft 365, Power Platform, Copilot, Azure, Fabric, and Foundry.Understanding of AI governance, security, privacy, and compliance considerations.Experience with enterprise application implementations or large-scale technology programs.Experience in public sector or large enterprise environments.Desired SkillsRequirements elicitation and workshop facilitation.Business process analysis and improvement.User story creation and backlog management.Executive-level communication and presentation skills.Documentation development and requirements traceability.Strategic thinking with the ability to connect business objectives to technology solutions.Work EnvironmentThis position offers a hybrid schedule with an onsite presence required in Austin, TX. The role is part of a collaborative team environment with the opportunity to suppo"
Apex Systems,AI Engineer,"Maple Grove, MN, 55456, US",Remote,Contract,2026-06-16,Active,HTTP+Playwright,https://www.apexsystems.com/job/3037167_usa/ai-engineer,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,ee687f14162b9c30dc47,"AI Engineer\nLocation: Maple Grove, Minnesota (Remote)\n \nRole Overview\nAn emerging technology team focused on developing and deploying AI-driven solutions is seeking an AI Engineer. We are looking for a versatile Software Engineer with AWS experience who can contribute across both traditional application development and emerging AI capabilities. The initial work will be centered on proof-of-concepts for chatbots and LLM-based features, alongside day-to-day development tasks.\n \nKey Responsibilities\nBuild and maintain applications in .NET within an AWS environment.Develop proof-of-concepts for chatbot, agentic AI, and LLM use cases, iterating toward production-ready features.Create LLM-based objects and integrations using AWS Bedrock and its available tooling.Design and build tools and features that support chatbot functionality, including conversation flows and tool/function calling.Write production-quality code, including clean APIs, automated testing, and CI/CD pipelines.Collaborate with business stakeholders and engineering teams to define and deliver realistic GenAI solutions.Prototype experiments and harden them into reliable, deployed features.Help establish patterns for prompt engineering, orchestration, and evaluation as AI capabilities mature.Set up and maintain LLMOps workflows, including deployment, monitoring, and cost tracking.Work with security, privacy, and compliance teams to ensure solutions meet enterprise standards.\nRequired Qualifications\nEducation: A BA/BS degree in Computer Science, CIS, MIS, or a related field is required.\n \nExperience: 5+ years in software engineering with experience building and shipping production applications. Experience or familiarity with LLMs, chatbot frameworks, and agentic AI patterns is needed.\n \nTechnical Skills: A strong development background in .NET or Python is required, along with hands-on AWS experience with Bedrock. Candidates must have skills in API design, secure integrations, automated testing, and CI/CD pipelines.\n \nPreferred Qualifications\nExperience with or exposure to RAG pipelines, including embeddings and vector databases (FAISS, Pinecone, OpenSearch).Comfortable with Python alongside .NET for AI/ML-related work.Everforth Apex is a world-class IT services company that serves thousands of clients across the globe. When you join Everforth Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRateds Best of Staffing® in Talent Satisfaction in the United States and Great Place to Work® in the United Kingdom and Mexico.Everforth Apex uses a virtual recruiter as part of the application process. Click here for more details. By applying for this job, you agree to receive calls, AI-generated calls, text messages, or emails from Everforth"
Apex Systems,AI Engineer,"Los Angeles, CA, 91201, US",See posting,Contract,2026-07-09,Active,HTTP+Playwright,https://www.apexsystems.com/job/3040307_usa/ai-engineer,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,b335b991c19aeb3ac149,"AI Engineer Role OverviewWe are seeking an AI Engineer / Architect for a high-impact platform initiative focused on modernizing internal systems and accelerating engineering productivity through AI. This individual will operate in a player/coach capacity, owning architecture decisions while remaining hands-on in implementation. The ideal candidate has an AI-first mindset with experience leveraging LLMs and AI tooling to design, build, and scale systems. Key ResponsibilitiesLead architecture and development of enterprise platforms, including authorization and asset management systems.Act as a technical lead for multiple engineers, providing guidance, oversight, and code review.Architect solutions, contribute hands-on to development, and delegate delivery across team members.Drive daily communication with leadership, including stand-ups and status updates.Leverage LLMs and AI development tools to accelerate engineering velocity and solution design.Translate technical concepts for non-engineering stakeholders and leadership.Support long-term technical planning and roadmap execution.Required QualificationsExperience as a Lead Engineer or Architect in enterprise environments.Hands-on experience with LLMs and AI/ML tooling, such as LLM SDKs and AI-assisted development.Proven ability to architect and implement scalable systems.Demonstrated capacity to lead and mentor engineers while operating in a player/coach role.Experience driving code reviews, technical decision-making, and cross-team collaboration.Communication skills to engage both technical and non-technical stakeholders.Preferred QualificationsBackground in Java / Spring Boot environments.Experience architecting and building authorization platforms or asset management systems.Ability to architect systems and implement them end-to-end.Experience working in AI-first engineering environments or transitioning teams toward AI-driven development.Everforth Apex is a world-class IT services company that serves thousands of clients across the globe. When you join Everforth Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRateds Best of Staffing® in Talent Satisfaction in the United States and Great Place to Work® in the United Kingdom and Mexico.Everforth Apex uses a virtual recruiter as part of the application process. Click here for more details. By applying for this job, you agree to receive calls, AI-generated calls, text messages, or emails from Everforth Apex and its affiliates, and contracted partners. Frequency varies for text messages. Message and data rates may apply. Carriers are not liable for delayed or undelivered messages. You can reply STOP to cancel and HELP for help. You can access our privacy policy at https://www.apexsystems.com/privacy-poli"
Apex Systems,AI Engineer,"Norfolk, VA, 23513, US",See posting,Contract,2026-08-03,Active,HTTP+Playwright,https://www.apexsystems.com/job/3040805_usa/ai-engineer,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,d3ccdca22629ac91f73d,"AI EngineerLocation: Norfolk, VAEmployment Type: Contract to HireContract Length: 3 month contract (conversion based on performance)Pay: Responsabilities:Architect and implement scalable multi-agent systems using advanced routing and hierarchical design patterns.Build, optimize, and maintain production-grade Retrieval-Augmented Generation pipelines and semantic search systems.Design and manage data preprocessing workflows, chunking strategies, and vector database infrastructure.Deploy, secure, and monitor AI applications and microservices within cloud environments.Collaborate closely with data scientists, UI/UX designers, and subject matter experts to integrate AI features into user-facing products.Establish and enforce security best practices for large language model implementations and data privacy.Technical Needs:Proven experience building multi-agent systems using frameworks like LangGraph, AutoGen, or equivalent tools.Deep understanding of RAG architecture, vector databases, embedding techniques, and information retrieval systems.Strong programming proficiency in a programing language similar to Python, and experience building robust RESTful APIs.Hands-on experience deploying and managing cloud services within AWS or OCI.Proficiency working with Linux operating systems and command-line interfaces.Expertise in text analytics, prompt engineering, data normalization, and cleaning techniques.Requirements:Bachelor's degree in Computer Science, Software Engineering, or a related technical field.7+ years of professional software engineering experience, with at least 2 years dedicated to production AI, ML, or NLP development.Active Secret or the ability to maintain and hold and active clearanceIAT II or higherAgile environment experienceEverforth Apex is a world-class IT services company that serves thousands of clients across the globe. When you join Everforth Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRateds Best of Staffing® in Talent Satisfaction in the United States and Great Place to Work® in the United Kingdom and Mexico.Everforth Apex uses a virtual recruiter as part of the application process. Click here for more details. By applying for this job, you agree to receive calls, AI-generated calls, text messages, or emails from Everforth Apex and its affiliates, and contracted partners. Frequency varies for text messages. Message and data rates may apply. Carriers are not liable for delayed or undelivered messages. You can reply STOP to cancel and HELP for help. You can access our privacy policy at https://www.apexsystems.com/privacy-policyEverforth Apex Benefits Overview: Everforth Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insur"
Apex Systems,AI Engineer,"Dallas, TX, 75202, US",On-site,Contract,2026-07-13,Active,HTTP+Playwright,https://www.apexsystems.com/job/3041313_usa/ai-engineer,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,767d5d094dc47c4f7ad5,"AI Engineer\nLocation: Dallas, Texas (Onsite)\n \nRole Overview\nWe are seeking an AI Engineer to join a team dedicated to building and maintaining a large-scale, enterprise-wide AI platform. This is an ongoing initiative, not a single project, designed to equip our organization with advanced AI capabilities. The ideal candidate will have a strong background in data engineering and experience in putting large-scale AI solutions into production.\n \nKey Responsibilities\nContribute to the development and enhancement of an enterprise-level AI platform.Work with large language models (LLMs) and build proof-of-concept (POC) applications.Apply data engineering principles to manage and process very large datasets.Build and deploy AI agents and robust Retrieval-Augmented Generation (RAG) pipelines.Collaborate with teams, including AI governance, to ensure solutions are scalable and compliant.Focus on the productionalization of AI models and systems.\nRequired Qualifications\nExperience:\nDemonstrated experience building AI platforms or systems, not just developing AI models.Proven track record of working with large-scale, production-level AI projects.Experience in data engineering, particularly with handling huge datasets.Experience building AI agents and RAG pipelines.\nTechnical Skills:\nFamiliarity with various LLM models and their implementation.Ability to build drag-and-drop functionalities and proof-of-concept applications.Everforth Apex is a world-class IT services company that serves thousands of clients across the globe. When you join Everforth Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRateds Best of Staffing® in Talent Satisfaction in the United States and Great Place to Work® in the United Kingdom and Mexico.Everforth Apex uses a virtual recruiter as part of the application process. Click here for more details. By applying for this job, you agree to receive calls, AI-generated calls, text messages, or emails from Everforth Apex and its affiliates, and contracted partners. Frequency varies for text messages. Message and data rates may apply. Carriers are not liable for delayed or undelivered messages. You can reply STOP to cancel and HELP for help. You can access our privacy policy at https://www.apexsystems.com/privacy-policyEverforth Apex Benefits Overview: Everforth Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Everforth Apex also offers a HSA (Health Savings Account on the HD"
Apex Systems,AI Engineer,"Dearborn, MI, 48120, US",Hybrid,Contract,2026-07-22,Active,HTTP+Playwright,https://www.apexsystems.com/job/3043318_usa/ai-engineer,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,25b51b702e4620a87a51,"Role: AI Platform EngineerLocation: Hybrid - 4 days/week onsite | Must be willing to interview in personDuration: Long-Term ContractDescription:We are seeking a Senior AI Platform Engineer to design, build, and scale next-generation AI solutions for an Enterprise Data Platform on Google Cloud Platform (GCP). This is a highly technical, hands-on individual contributor role focused on developing production-grade multi-agent AI systems, AI-powered workflows, and developer-facing capabilities. The ideal candidate will combine deep software engineering expertise with practical experience building and operating LLM-based applications in production environments. This role requires ownership of solution architecture, hands-on development, technical leadership, and cross-functional collaboration to deliver scalable, secure, and observable AI solutions.Key ResponsibilitiesAI Solution ArchitectureDesign and implement multi-agent AI systems and agent orchestration frameworks.Evaluate architectural trade-offs, including: Single-agent vs. multi-agent architecturesRetrieval-Augmented Generation (RAG) vs. fine-tuning approachesAgent workflow design and orchestration strategiesContribute to Architecture Decision Records (ADRs) and technical design documentation.Define scalable, secure, and maintainable AI platform patterns.AI Application DevelopmentDevelop and deploy production-grade AI applications and agentic workflows.Build solutions supporting: Natural Language to SQL (NL-to-SQL)Semantic searchMetadata enrichmentIntelligent automation workflowsImplement AI guardrails, observability, monitoring, and evaluation frameworks.Leverage modern agent development tools and coding assistants.Full-Stack EngineeringDevelop backend services using: PythonFastAPIBuild frontend experiences using: AngularReactCreate chat interfaces, APIs, developer tooling, and user-facing AI experiences.Own end-to-end feature delivery from design through production deployment.Engineering ExcellenceWrite high-quality, maintainable, and testable code.Lead technical reviews and establish engineering best practices.Perform root-cause analysis and troubleshoot complex AI agent failures.Serve as the team's technical expert for advanced AI and platform engineering challenges.Drive continuous improvements in reliability, scalability, and performance.Collaboration & LeadershipPartner closely with Product Management, Data Engineering, and Platform Engineering teams.Participate in sprint planning, backlog refinement, and technical roadmap discussions.Mentor team members and promote knowledge sharing.Support onboarding and technical development of new engineers.Required QualificationsExperience5+ years of professional software engineering experience.Demonstrated hands-on coding expertise with modern application development practices.Experience building and operating AI-powered applications or LLM-based systems in production environments.Ability to interpret ambiguous business requirements and independent"
Apex Systems,AI Engineer,"Fort Mill, SC, 29715, US",Remote,Contract,2026-08-17,Active,HTTP+Playwright,https://www.apexsystems.com/job/3046287_usa/ai-engineer,True,2026-08-21T18:13:57+00:00,2026-08-21T18:13:57+00:00,aa78d55b6730da73e76e,"AI EngineerLocation: 100% Remote Role OverviewAs an AI Software Engineer, you will be responsible for designing, developing, and deploying Decision Intelligence and AI-enabled products. These solutions impact patient care, team member and patient experience, and clinical operations. You will work on a product team with engineers, data scientists, and product managers, contributing to the full product lifecycle from ideation to iteration. Key ResponsibilitiesCollaborate with a product team to design, develop, and deploy Decision Intelligence and AI-enabled products.Guide the architecture, infrastructure, tools, and processes for AI/ML products.Implement knowledge graphs, ideally Neo4j, in solutions deployed to production.Implement GraphRag in AI/ML products deployed to production to improve LLM response.Design and implement scalable and efficient ML Ops pipelines for large volumes of data.Standardize, optimize, and scale products in production environments.Develop rapid prototypes to experiment and evaluate feasibility.Stay current with the latest data platform and AI/ML tools, techniques, and industry trends.Required QualificationsEducation: A Bachelor’s Degree in Engineering, Computer Science, or a similar field is required. Experience: A minimum of 6 years of experience in software engineering, data engineering, or machine learning engineering is required. This must include 3 years of experience in data science or artificial intelligence. Technical Skills:Expert-level programming skills in Python/PySpark and Java.Experience building user interfaces with HTML, CSS, and JavaScript frameworks such as React or Angular.Experience with public cloud platforms, ideally Azure.Proficiency with containerization and DevSecOps practices.Experience working with semi-structured file formats and NoSQL databases.Understanding of API design, development, and production deployment at scale.Knowledge of and implemented knowledge graph (ideally Neo4j) in solutions deployed to production.Implemented GraphRag in AI/ML products that were deployed to production to improve LLM Response. Preferred QualificationsA Master's degree.Experience in the healthcare industry.Knowledge of medical terminology and clinical workflows.Contributions to open-source AI/ML projects.Everforth Apex is a world-class IT services company that serves thousands of clients across the globe. When you join Everforth Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRateds Best of Staffing® in Talent Satisfaction in the United States and Great Place to Work® in the United Kingdom and Mexico.Everforth Apex uses a virtual recruiter as part of the application process. Click here for more details. By applying for this job, you agree to receive calls, AI-generat"
